filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time
ch2_tmc_nca_20200118T1731219963_d_img_d18.zip,NCA,AFT,2020-01-18 17:31:21.996300+00:00,2020-01-18 17:31:21.996000+00:00,1450872000,90.2,IMG,2020-01-18 17:41:08.875000+00:00
ch2_tmc_ncf_20200118T1731219963_d_img_d18.zip,NCF,FORE,2020-01-18 17:31:21.996300+00:00,2020-01-18 17:31:21.996000+00:00,1450864000,90.2,IMG,2020-01-18 17:41:08.871000+00:00
ch2_tmc_ncn_20200118T1731219963_d_img_d18.zip,NCN,NADIR,2020-01-18 17:31:21.996300+00:00,2020-01-18 17:31:21.996000+00:00,1450872000,90.2,IMG,2020-01-18 17:41:08.875000+00:00
ch2_tmc_nca_20200123T0536588960_d_img_d18.zip,NCA,AFT,2020-01-23 05:36:58.896000+00:00,2020-01-23 05:36:58.896000+00:00,1458136000,94.76,IMG,2020-01-23 05:46:48.712000+00:00
ch2_tmc_ncf_20200123T0536588960_d_img_d18.zip,NCF,FORE,2020-01-23 05:36:58.896000+00:00,2020-01-23 05:36:58.896000+00:00,1458144000,94.76,IMG,2020-01-23 05:46:48.716000+00:00
ch2_tmc_ncn_20200123T0536588960_d_img_d18.zip,NCN,NADIR,2020-01-23 05:36:58.896000+00:00,2020-01-23 05:36:58.896000+00:00,1458144000,94.76,IMG,2020-01-23 05:46:48.716000+00:00
ch2_tmc_nca_20200126T0025369991_d_img_d18.zip,NCA,AFT,2020-01-26 00:25:36.999100+00:00,2020-01-26 00:25:36.999000+00:00,1459096000,97.48,IMG,2020-01-26 00:35:27.204000+00:00
ch2_tmc_ncf_20200126T0025369991_d_img_d18.zip,NCF,FORE,2020-01-26 00:25:36.999100+00:00,2020-01-26 00:25:36.999000+00:00,1459096000,97.48,IMG,2020-01-26 00:35:27.204000+00:00
ch2_tmc_ncn_20200126T0025369991_d_img_d18.zip,NCN,NADIR,2020-01-26 00:25:36.999100+00:00,2020-01-26 00:25:36.999000+00:00,1459088000,97.48,IMG,2020-01-26 00:35:27.201000+00:00
ch2_tmc_ncf_20200129T1257183558_d_img_d18.zip,NCF,FORE,2020-01-29 12:57:18.355800+00:00,2020-01-29 12:57:18.355000+00:00,1448648000,89.72,IMG,2020-01-29 13:07:04.331000+00:00
